Species Latin Name,Common Name,Address,Comments,Planting season,Planting year ,tree caretaker,nursery,replacement tree,city,Tree amount,Unnamed: 11,latitude,longitude
cornus florida ,Dogwood,1 Water St ,WPF/MKM,Spring ,2019,Camden county,Plant Detectives,,Camden,4,,31.99029,-87.28826
cornus florida ,Dogwood,1701 Carl Miller BLvd,WPF/MKM,Spring,2019,City of Camden,Plant Detectives,,Camden,3,,36.08599,-88.18259
stryax japonicum,Japanese snowbell,1701 Carl Miller BLvd,WPF/MKM,Spring ,2019,City of Camden,Plant Detectives,,Camden,4,,36.08599,-88.18259
carpinus carolinana,american hornbeam,1010 Liberty St ,MKM,Spring ,2019,St. Joseph's Church,Plant Detectives,,Camden,6,,39.9306,-75.1099
cercis canadensis,redbud,941 Mechanic St ,MKM,Spring,2019,,Plant Detectives,,Camden,1,,39.93022,-75.11028
cercis canadensis,redbud,942 Mechanic St ,MKM,Spring,2019,,Plant Detectives,,Camden,1,,39.92989,-75.10997
cercis canadensis,redbud,1036 Mechanic St ,MKM,Spring,2019,,Plant Detectives,,Camden,1,,39.93,-75.10844
cericis canadensis,redbud,1041 Mechanic St ,MKM,Sprin ,2019,,Plant Detectives,,Camden,1,,39.9304,-75.1091
prunus okame,okame cherry ,520 Beacon Ave,MKM,Spring ,2019,Lisa Cruz,Plant Detectives,,Camden,2,,39.94025,-75.07912
cercis canadensis,redbud,3305 Highland Ave,MKM,Spring,2019,,Plant Detectives,,Camden,1,,39.94384,-75.07387
prunus kwanzan,kwanzan cherry,3327 Highland Ave,MKM,Spring,2019,Tony Estrada,Plant Detectives,,Camden,1,,39.94416,-75.07345
ostrya virginiana,hophornbeam,Alberta Woods,MKM,Spring ,2019,City of Camden,Plant Detectives,,Camden,4,,,
lagerstroemia,crepe myrtle ,Alberta Woods,MKM,Spring,2019,City of Camden,Plant Detectives,,Camden,1,,,
prunus okame,okame cherry ,3185 Highland Ave,MKM,Spring,2019,Betty Louie,Plant Detectives,,Camden,2,,39.94298,-75.0749
lagerstroemia,crepe myrtle ,523 Beacon Ave,MKM,Spring,2019,,Plant Detectives,,Camden,2,,39.93989,-75.07932
lagerstroemia,crepe myrtle ,2926 Waldorf Ave,MKM,Spring,2019,Josue Martinez,Plant Detectives,,Camden,1,,39.93985,-75.07995
cercis canadensis,redbud,2926 Waldorf Ave,MKM,Spring,2019,Josue Martinez,Plant Detectives,,Camden,2,,39.93985,-75.07995
cercis canadensis,redbud,1625 Wildwood Ave,WPF ,Spring ,2019,Samir Nichols,Plant Detectives,,Camden,2,,39.93624,-75.10008
amelanchier ,serviceberry,1625 Wildwood Ave,WPF,Spring,2019,Samir Nichols,Plant Detectives,,Camden,8,,39.93624,-75.10008
lagerstroemia ,crepe myrtle ,600 N 7th St ,WPF,Spring,2019,La Domenica Store,Plant Detectives,,Camden,1,,39.95038,-75.11569
cercis canadensis,redbud,600 N 7th St ,WPF,Spring,2019,La Domenica Store,Plant Detectives,,Camden,1,,39.95038,-75.11569
cercis canadensis,redbud,644 York St ,WPF,Spring,2019,Wanda Matias,Plant Detectives,,Camden,1,,39.95312,-75.11559
lagerstroemia,crepe myrtle ,628 York St ,WPF,Spring,2019,,Plant Detectives,,Camden,1,,39.95319,-75.116
lagerstroemia,crepe myrtle ,641 York St ,WPF,Spring,2019,,Plant Detectives,,Camden,1,,39.95345,-75.11541
lagerstroemia,crepe myrtle ,629 York St ,WPF,Spring,2019,,Plant Detectives,,Camden,1,,39.95352,-75.11577
cercis canadensis,redbud,625 York St ,WPF,Spring,2019,Jose Ruiz,Plant Detectives,,Camden,1,,39.95355,-75.11588
lagerstroemia,crepe myrtle ,615 York St ,WPF,Spring,2019,,Plant Detectives,,Camden,1,,39.9536,-75.11616
cercis canadensis,redbud,610 York St ,WPF,Spring ,2019,,Plant Detectives,,Camden,1,,39.95328,-75.11647
lagerstroemia,crepe myrtle ,6th & Grant St ,WPF,SPring,2019,La Esperanza,Plant Detectives,,Camden,1,,39.72283,-74.89204
cercis canadensis,redbud,6th & Grant St ,WPF,SPring,2019,La Esperanza,Plant Detectives,,Camden,1,,39.72283,-74.89204
cladrasis lutea,yellowwood,24th & Howell St ,WPF,Fall ,2019,City of Camden,Plant Detectives,,Camden,4,,39.94664,-75.09049
syringa retuiculate,Japanese tree lilac,24th& Howell St ,WPF,Fall ,2019,City of Camden,Plant Detectives,,Camden,4,,39.94664,-75.09049
malus sutyzam,Crabapple,24th & Howell St ,WPF,Fall ,2019,City of Camden,Plant Detectives,,Camden,2,,39.94664,-75.09049
liriodendron tulipfera ,tuliptree,24th & Howell St,WPF,Fall ,2019,City of Camden,Plant Detectives,,Camden,2,,39.94664,-75.09049
chamaecyparis thyodies,altantic white cedar,cramer hill nature preserve,WPF,Fall ,2019,CCMUA,Plant Detectives,,Camden,8,,,
taxodium distichum,Bald cypress,cramer hill nature preserve,WPF,Fall ,2019,CCMUA,Plant Detectives,,Camden,2,,,
lagerstroemia ,crepe myrtle ,1004 Miller Ave,WPF,Fall ,2019,,Plant Detectives,,Gloucester City,1,,39.8872,-75.10134
lagerstroemia,crepe myrtle ,106 Park Ave,WPF,Fall ,2019,City of Gloucester ,Plant Detectives,,Gloucester City,4,,39.88531,-75.10188
stryax japonicum,Japanese snowbell,106 PArk Ave,WPF,Fall ,2019,City of Gloucester ,Plant Detectives,,Gloucester City,2,,39.88531,-75.10188
aesculus carnea,RR horsechestnut,106 Park Ave,WPF,Fall ,2019,City of Gloucester ,Plant Detectives,,Gloucester City,2,,39.88531,-75.10188
malus transitoria,Crabapple,106 Park Ave,WPF,Fall ,219,City of Gloucester ,Plant Detectives,,Gloucester City,2,,39.88531,-75.10188
gledista tricantos skyline,honeylocust,2698 Admiral wilson blvd,NJCF,Fall ,2019,NJCF/CCMUA,Plant Detectives,,Camden,2,,39.9367,-75.08866
taxodium distichum,Bald cypress,2698 Admiral Wilson blvd,NJCF,Fall ,2019,NJCF/CCMUA,Plant Detectives,,Camden,2,,39.9367,-75.08866
magnolia grandifolia brackens brown beauty,magnolia,2698 Admiral Wilson blvd,NJCF,Fall ,2019,NJCF/CCMUA,Plant Detectives,,Camden,2,,39.9367,-75.08866
quercus phellos,willow oak,2698 Admiral wilson blvd,NJCF,Fall ,2019,NJCF/CCMUA,Plant Detectives,,Camden,10,,39.9367,-75.08866
magnolia virginiana ,magnolia,2698 Admiral Wilson Blvd,NJCF,Fall ,2019,NJCF/CCMUA,Plant Detectives,,Camden,8,,39.9367,-75.08866
chamaecyparis thyodies,Atlantic White cedar,2698 Admiral Wilson Blvd,NJCF,Fall ,2019,NJCF/CCMUA,Plant Detectives,,Camden,19,,39.9367,-75.08866
pinus strobus,white pine,2698 admiral wilson blvd,NJCF,Fall ,2019,nJCF/CCMUA,Plant Detectives,,Camden,4,,39.9367,-75.08866
metasequoia glyptostroboides,dawn redwood,2698 admiral wilson blvd,NJCF,Fall ,2019,NJCF/CCMUA,Plant Detectives,,Camden,6,,39.9367,-75.08866
nyssa sylvatica ,blackgum,2698 admiral wilson blvd,NJCF,Fall ,2019,NJCF/CCMUA,Plant Detectives,,Camden,10,,39.9367,-75.08866
acer rubrum sun valley,red maple,2698 admiral wilson blvd,NJCF,Fall ,2019,NJCF/CCMUA,Plant Detectives,,Camden,7,,39.9367,-75.08866
cornus floridia cherokee princess,dogwood,2698 admiral wilson blvd,NJCF,Fall ,2019,NJCF/CCMUA,Plant Detectives,,Camden,10,,39.9367,-75.08866
cercis canadensis,redbud,2698 admiral wilson blvd,NJCF,Fall ,2019,NJCF/CCMUA,Plant Detectives,,Camden,8,,39.9367,-75.08866
juniper virginiana ,juniper ,2698 admiral wilson blvd ,NJCF ,Fall,2019,NJCF/CCMUA,Plant Detectives,,Camden,10,,39.9367,-75.08866
fagus grandifolia,american beech,2698 admiral wilson blvd,NJCF,Fall,2019,NJCF/CCMUA,Plant Detectives,,Camden,5,,39.9367,-75.08866
cercis canadensis,eastern redbud,442 N. 39th St ,Wells Fargo Foundation,Fall,2020,Felix Moulier,Plant Detectives,,Camden,8,,39.95614,-75.075
strax japonica ,Japanese snowbell,442 N. 39th St,Wells Fargo Foundation,Fall,2020,Felix Moulier,Plant Detectives,,Camden,2,,39.95614,-75.075
syringa reticulate ivory silk,Japanese tree lilac,2300 block Howell Street,NJHI/NJCF ,Fall,2020,Kelly Negron,Plant Detectives,,Camden,4,,39.94836,-75.09192
prunus x okame,okame cherry ,2300 block Howell St,NJHI/NJCF ,Fall,2020,Kelly Negron,Plant Detectives,,Camden,3,,39.94836,-75.09192
prunus x okame,okame cherry ,127 N. 24th St,NJHI/NJCF ,Fall,2020,Sandra Cruz,Plant Detectives,,Camden,1,,39.94822,-75.0914
acer burgeranium,trident maple,2419 Howell St,NJHI/NJCF ,Fall,2020,Oscar Trujillo,Plant Detectives,,Camden,2,,39.94888,-75.09164
parrotia persica,persian ironwood,525 Bailey St,NJHI/NJCF ,Fall,2020,Endyr Cruz,Plant Detectives,,Camden,1,,39.95438,-75.11765
parrotia persica,persian ironwood,563 Bailey St,NJHI/NJCF ,Fall,2020,Rodolfo Escobar,Plant Detectives,,Camden,1,,39.9542,-75.11671
cercis canadensis,eastern redbud,563 Bailey St,NJHI/NJCF ,Fall,2020,Rodolfo Escobar,Plant Detectives,,Camden,2,,39.9542,-75.11671
cercis canadensis,eastern redbud,400 Byron St,NJHI/NJCF ,Fall,2020,Jackie Santiago,Plant Detectives,,Camden,2,,39.95551,-75.11949
cornus rutcan,dogwood,920 N 6th St,NJHI/NJCF ,FAll,2020,Hermes Perez,Plant Detectives,,Camden,2,,39.95407,-75.11636
persica parrotia,persian ironwood,931 N 6th St,NJHI/NJCF ,Fall,2020,Shelia Chambliss,Plant Detectives,,Camden,1,,39.95433,-75.11677
persica parrotia,persian ironwood,800 Galindez Ct,NJHI/NJCF ,Fall,2020,Jess Franzini,Plant Detectives,,Camden,2,,39.95201,-75.11249
weigela florida,weigela wine & roses,4th & Washington Park,LSR/WPF,Fall,2020,Pino Rodriguez,Plant Detectives,,Camden,8,,38.89,-77.00074
viburnum dentatum ,arrowwood viburnum,4th & Washington ,LSR/WPF,Fall,2020,Pino Rodriguez,Plant Detectives,,Camden,6,,44.20923,-69.06553
iris versicolor,northern blue flag,4th & Washington ,LSR/WPF,FAll,2020,Pino Rodriguez,Plant Detectives,,Camden,12,,44.20923,-69.06553
aster novae,New england aster,4th & Washington ,LSR/WPF,Fall,2020,Pino Rodriguez,Plant Detectives,,Camden,12,,44.20923,-69.06553
asclepias tuberosa ,butterfly weed,4th & Washington ,LSR/WPF,Fall,2020,Pino Rodriguez,Plant Detectives,,Camden,8,,44.20923,-69.06553
cornus kousa,dogwood,4th & Washington ,LSR/WPF,Fall,2020,Pino Rodriguez,Plant Detectives,,Camden,4,,44.20923,-69.06553
liriodendron tulipfera ,tuliptree,4th & Washington,LSR/WPF,Fall,2020,Pino Rodriguez,Plant Detectives,,Camden,1,,44.20923,-69.06553
nyssa sylvatica,blackgum,4th & Washington,LSR/WPF,Fall,2020,Pino Rodriguez,Plant Detectives,,Camden,4,,44.20923,-69.06553
tilia cordata,Littleleaf linden,4th & Washington ,LSR/WPF,Fall,2020,Pino Rodriguez,Plant Detectives,,Camden,3,,44.20923,-69.06553
acer campestre,hedge maple,4th & WAshington,LSR/WPF,Fall,2020,Pino Rodriguez,Plant Detectives,,Camden,1,,44.20923,-69.06553
acer campestre,hedge maple,602 S 4th St,LSR/WPF,Fall,2020,Wanda Rosario,Plant Detectives,,Camden,1,,39.93794,-75.12352
prunus x yeodensis,yoshino cherry ,1231 Mechanic St,WPF,Fall,2020,Saleem Muuwakkil,Plant Detectives,,Camden,1,,39.93078,-75.10375
amelanchier ,serviceberry,New Camden Park,WPF,Fall,2020,Samir Nichols,Plant Detectives,,Camden,2,,,
lagerstroemia,crepe myrtle ,4th & Washington Park,WPF,Fall,2020,Pino Rodriguez,Plant Detectives,,Camden,1,,38.89,-77.00074
syringa reticulate,Japanese tree lilac,416 Beckett St,WPF,Fall,2020,Pedro Rodriguez,Plant Detectives,,Camden,2,,39.93721,-75.12327
prunus x okame,okame cherry ,916 S 5th St,WPF,Fall,2020,Gloria Berrios,Plant Detectives,,Camden,1,,39.93464,-75.12049
prunus x okame,okame cherry ,3185 Highland Ave,WPf,Fall,2020,Betty Louie,Plant Detectives,,Camden,2,,39.94298,-75.0749
prunus x okame,okame cherry ,831 Kaighn Ave,WPf,Fall,2020,Reverend Heard,Plant Detectives,,Camden,2,,39.93176,-75.11198
acer buergeranium,trident maple,607-637 Mount Vernon St,Stock option gift,Fall,2020,Christoff Lindsey,Plant Detectives,,Camden,3,,39.93339,-75.11727
carpinus carolinana,american hornbeam,607-637 Mount Vernon St ,Stock option gift,Fall,2020,Christoff Lindsey,Plant Detectives,,Camden,3,,39.93339,-75.11727
nyssa sylvatica,blackgum,607-637 Mount Vernon St,Stock option gift,fall,2020,Christoff Lindsey,Plant Detectives,,Camden,3,,39.93339,-75.11727
cercis canadensis,eastern redbud,607-637 Mount Vernon St,Stock option gift,Fall,2020,Christoff Lindsey,Plant Detectives,,Camden,2,,39.93339,-75.11727
tilia cordata,LL linden,607-637 Mount Vernon St,Stock option gift,Fall,2020,Christoff Lindsey,Plant Detectives,,Camden,3,,39.93339,-75.11727
asimina triloba,pawpaw ,1173 Empire Ave,MKM Foundation,Fall,2020,Jonathan Wetstein,Pinelands Nursery ,,Camden,7,,39.93503,-75.10195
ficus carica ,fig trees,1173 Empire Ave,MKM,Fall,2020,Jonathan Wetstein,Hopewell Nursery,,Camden,10,,39.93503,-75.10195
peach x bonfire,bonfire peach,1900 Park Blvd,MKM,Fall,2020,Jonathan Wetstein,Hopewell Nursery,,Camden,12,,39.93104,-75.09424
pear pyrifolia,pear ,1900 Park Blvd,MKM,Fall,2020,Jonathan Wetstein,Hopewell Nursery,,Camden,13,,39.93104,-75.09424
acer rubrum,red maple,168-298 Jackson St,TD Tree Days,Fall,2020,CCMUA,Hopewell Nursery,,Camden,3,,39.92469,-75.12298
gledista tricantos ,honeylocust,168-298 Jackson St,TD Tree Days,Fall,2020,CCMUA,Hopewell Nursery,,Camden,3,,39.92469,-75.12298
liquidambar stryaflua,sweetgum,168-298 Jackson St,TD Tree Days,Fall,2020,CCMUA,Hopewell Nursery,,Camden,3,,39.92469,-75.12298
tilia americana,american linden,168-298 Jackson St,TD Tree Days,Fall,2020,CCMUA,Hopewell Nursery,,Camden,3,,39.92469,-75.12298
ulmus americana,American Elm (Princeton),351-399 Jasper St,TD Tree Days,Fall,2020,CCMUA,Plant Detectives,,Camden,4,,33.56358,-92.81665
liriodendron tulipfera ,tuliptree,351-399 Jasper St,TD Tree Days,Fall,2020,CCMUA,Plant Detectives,,Camden,6,,33.56358,-92.81665
tilia cordata,linden,351-399 Jasper St,TD Tree Days,Fall,2020,CCMUA,Plant Detectives,,Camden,6,,33.56358,-92.81665
acer rubrum,red maple,351-399 Jasper St,TD Tree Days,Fall,2020,CCMUA,Plant Detectives,,Camden,8,,33.56358,-92.81665
betula nigra,River birch,351-399 Jasper St,TD Tree Days,Fall,2020,CCMUA,Plant Detectives,,Camden,5,,33.56358,-92.81665
nyssa sylvatica,blackgum,351-399 Jasper St,TD Tree Days,Fall,2020,CCMUA,Plant Detectives,,Camden,4,,33.56358,-92.81665
betula nigra 'heritage',river birch,3519 Farragut Ave/36th st ,William Penn Foundation,Spring ,2021,CCMUA,Plant Detectives,,Camden,7,6/8' CL,39.96536,-75.08703
nyssa sylvatica,blackgum,3519 Farragut Ave/36th St,William Penn Foundation,Spring,2021,CCMUA,Plant Detectives,,Camden,4,#15,39.96536,-75.08703
betual nigra,river birch,3519 Farragut Ave/36th St ,William Penn Foundation,Spring,2021,CCMUA,Plant Detectives,,Camden,4,#15,39.96536,-75.08703
nyssa sylvatica,blackgum,3519 Farragut Ave,William Penn Foundation,Spring,2021,CCMUA,Plant Detectives,,Camden,5,"2""",39.96536,-75.08703
tilia cordata 'redmond',Littleleaf linden,3519 Farragut Ave/36th St ,William Penn Foundation,Spring,2021,CCMUA,Plant Detectives,,Camden,5,#20,39.96536,-75.08703
prunus x okame,okame cherry ,2861 Kansas Rd ,One tree Planted ,Spring ,2021,Karina Garcia ,Fernbrook Nursery ,,Camden,4,"2-2.5"" B&B",39.90734,-75.10864
cornus kousa 'milky way',flowering dogwood,2829 Kansas Rd,One tree Planted ,Spring,2021,Dwayne,Fernbrook Nursery ,,Camden,1,"2-2.5"" B&B",39.90762,-75.10872
cornus kousa 'milky way',flowering dogwood,2870 Kansas Rd ,One tree Planted ,Spring ,2021,,Fernbrook Nursery ,,Camden,1,"2-2.5"" B&B",39.90719,-75.10812
cornus kousa 'milky way',flowering dogwood,2871 Tuckahoe Rd ,One tree Planted ,Spring,2021,,Fernbrook Nursery ,,Camden,1,"2-2.5"" B&B",39.90722,-75.10964
prunus x sargentii 'rancho',sargent cherry ,2871 Tuckahoe Rd ,One tree Planted ,Spring,2021,,Fernbrook Nursery ,,Camden,2,"2-2.5"" B&B",39.90722,-75.10964
cornus kousa 'milky way',flowering dogwood,2828 Idaho Rd ,One tree Planted ,Spring,2021,,Fernbrook Nursery ,,Camden,1,"2-2.5"" B&B",39.90782,-75.1076
carpinus carolinana,american hornbeam,65 York St (Dominick Andujar park),William Penn Foundation,Spring,2021,Trust for Public Land,Fernbrook Nursery ,,Camden,3,"2-2.5"" B&B",40.72529,-74.0069
cercis canadensis 'merlot',eastern redbud,65 York St,William Penn Foundation,Spring,2021,Trust for Public Land,Fernbrook Nursery ,,Camden,1,"2-2.5"" B&B",39.95506,-75.12406
quercus phellos,willow oak,65 York St ,William Penn Foundation,Spring ,2021,Trust for Public Land,Fernbrook Nursery ,,Camden,4,"2-2.5"" B&B",39.95506,-75.12406
prunus x okame,okame cherry ,65 York St ,William Penn Foundation,Spring ,2021,Trust for Public Land,Fernbrook Nursery ,,Camden,1,"2-2.5"" B&B",39.95506,-75.12406
celtis occidentalis,common hackberry,65 York St,William Penn Foundation,Spring,2021,Trust for Public Land,Fernbrook Nursery ,,Camden,3,"2-2.5"" B&B",39.95506,-75.12406
liquidambar stryaflua 'happydaze',sweetgum,65 York St,William Penn Foundation,Spring,2021,Trust for Public Land,Fernbrook Nursery ,,Camden,4,"2-2.5"" B&B",39.95506,-75.12406
prunus x okame,okame cherry ,135 State St ,William Penn Foundation,Spring,2021,Joe Icandela,Fernbrook Nursery ,,Camden,1,"2-2.5"" B&B",39.94639,-75.09573
prunus x okame,okame cherry ,912 Point St ,William Penn Foundation,Spring,2021,Joe Icandela,Fernbrook Nursery ,,Camden,1,"2-2.5"" B&B",39.95551,-75.12478
cercis canadensis 'pink heartbreaker',eastern redbud,527-541 Elm St,MKM Foundation,Spring ,2021,Camden DPW,Fernbrook Nursery ,,Camden,3,"2-2.5"" B&B",33.57893,-92.8362
prunus x okame,okame cherry ,527-541 Elm St,MKM Foundation,Spring,2021,Camden DPW,Fernbrook Nursery ,,Camden,2,"2-2.5"" B&B",33.57893,-92.8362
acer griseum,paperbark maple,527-541 Elm St,MKM Foundation,Spring,2021,Camden DPW,Fernbrook Nursery ,,Camden,3,"1.75-2"" B&B",33.57893,-92.8362
carpinus carolinana,american hornbeam,1135 Mt Ephraim Ave,William Penn Foundation,Spring,2021,Aaron Miller,Fernbrook Nursery ,,Camden,5,"2-2.5"" B&B",39.93195,-75.10906
prunus x subhirtella 'autumnalis',Higan Cherry ,1135 Mt Ephraim Ave,William Penn Foundation,Spring,2021,Aaron Miller,Fernbrook Nursery ,,Camden,5,"2-2.5"" B&B",39.93195,-75.10906
metasequoia glyptostroboides,Dawn redwood,1764 Park Blvd,William Penn Foundation,Spring,2021,City of Camden,Plant Detectives,,Camden,6,2-2.5 B&B,39.93359,-75.09664
ostrya virginiana,american hophornbeam,1764 Park Blvd,William Penn Foundation,Spring,2021,City of Camden,Plant Detectives,,Camden,6,"2-2.5"" B&B",39.93359,-75.09664
quercua coccinea,scarlet oak,1764 Park Blvd,William Penn Foundation,Spring,2021,City of Camden,Plant Detectives,,Camden,6,"2-2.5"" B&B",39.93359,-75.09664
quercus palustris,swamp spanish oak,1764 Park Blvd,William Penn Foundation,Spring,2021,City of Camden,Plant Detectives,,Camden,6,"2-2.5"" B&B",39.93359,-75.09664
betula nigra,river birch,1764 Park Blvd,William Penn Foundation,Spring,2021,City of Camden,Plant Detectives,,Camden,6,"2-2.5"" B&B",39.93359,-75.09664
liriodendron tulipfera ,tulip poplar,2361 Admiral Wilson Blvd,TD Tree Days,Fall ,2021,City of Camden,Plant Detectives,,Camden,5,30GAL container,39.93708,-75.08845
picea glauca,white spruce,2361 Admiral Wilson Blvd,TD Tree Days,Fall,2021,City of Camden,Plant Detectives,,Camden,5,6/7' B&B,39.93708,-75.08845
pinus strobus,white pine,2361 Admiral Wilson Blvd,TD Tree Days,Fall,2021,City of Camden,Plant Detectives,,Camden,5,6/7' B&B,39.93708,-75.08845
ulmus americana,American Elm (Princeton),2361 Admiral Wilson Blvd,TD Tree Days,Fall,2021,City of Camden,Plant Detectives,,Camden,5,30GAL container,39.93708,-75.08845
celtis occidentalis,common hackberry,2361 Admiral Wilson Blvd,TD Tree Days,Fall,2021,City of Camden,Plant Detectives,,Camden,5,20Gal container,39.93708,-75.08845
aesculus carnea,Ruby red horsechestnut,2361 Admiral Wilson Blvd,TD Tree Days,Fall,2021,City of Camden,Plant Detectives,,Camden,5,20Gal container,39.93708,-75.08845
betula nigra,river birch 'heritage',2361 Admiral Wilson Blvd,TD Tree Days,Fall,2021,City of Camden,Plant Detectives,,Camden,5,30gal container,39.93708,-75.08845
cercis canadensis,eastern redbud,3055 Waldorf Ave ,Stock option gift,Fall,2021,Anthony Johnson,Plant Detectives,,Camden,1,20gal container,39.94137,-75.0789
prunus x okame,okame cherry ,251 S. 32nd St,Stock option gift,Fall,2021,Linda Onyenaka,Plant Detectives,,Camden,1,30gal container,39.94358,-75.07531
prunus x okame,okame cherry ,259 S 32nd St,Stock option gift,Fall,2021,Christine Moore,Plant Detectives,,Camden,1,30gal container,39.94339,-75.07525
prunus x sargentii 'columnaris',sargen cherry 'columnaris',121 S 32nd St,Stock option gift,Fall,2021,Omar Zuniga,Plant Detectives,,Camden,1,20gal container,39.94556,-75.07631
cercis canadensis,eastern redbud,121 S 32nd St,stock option gift,Fall,2021,Omar Zuniga,Plant Detectives,,Camden,1,30gal container,39.94556,-75.07631
cercis canadensis,eastern redbud,3014 Fremont Ave,stock option gift,Fall,2021,Alberta Woods,Plant Detectives,,Camden,3,20gal container,39.94291,-75.08025
prunis x sargentii 'columnaris',sargent cherry ,3014 Fremont Ave,stock option gift,Fall,2021,Alberta Woods,Plant Detectives,,Camden,2,20gal container,39.94291,-75.08025
prunus x okame,okame cherry ,3014 Fremont Ave,stock option gift,Fall,2021,Alberta Woods,Plant Detectives,,Camden,1,30gal container,39.94291,-75.08025
cladrasis lutea,yellowwood 'erkins pink',3014 Fremont Ave,stock option gift,Fall,2021,Alberta Woods,Plant Detectives,,Camden,1,20gal container,39.94291,-75.08025
acer campestre,trident maple,1500 S. 4th St,William Penn Foundation,Fall,2021,Jonathan Atwood,Plant Detectives,,Camden,10,20gal container,39.92705,-75.12135
cercis canadensis,eastern redbud,1500 S 4th St,William Penn Foundation,Fall,2021,Jonathan Atwood,Plant Detectives,,Camden,5,20gal container,39.92705,-75.12135
nyssa sylvatica 'wildfire',blackgum 'wildfire',1500 S 4th St,William Penn Foundation,Fall,2021,Jonathan Atwood,Plant Detectives,,Camden,10,15gal container,39.92705,-75.12135
carpinus carolinana,american hornbeam,1500 S 4th St,William Penn Foundation,Fall,2021,Jonathan Atwood,Plant Detectives,,Camden,5,20gal container,39.92705,-75.12135
tilia cordata 'greenspire',littleleaf linden 'greenspire',1500 S 4th St,William Penn Foundation,Fall,2021,Jonathan Atwood,Plant Detectives,,Camden,10,30gal container,39.92705,-75.12135
